LocationType,Location,TimeFrame,DataFormat,Data
Nation,United States,1990,Number,38351
Nation,United States,1990,"Rate per 1,000",9.2
Nation,United States,1991,"Rate per 1,000",8.9
Nation,United States,1991,Number,36766
Nation,United States,1992,Number,34628
Nation,United States,1992,"Rate per 1,000",8.5
Nation,United States,1993,"Rate per 1,000",8.4
Nation,United States,1993,Number,33466
Nation,United States,1994,Number,31710
Nation,United States,1994,"Rate per 1,000",8
Nation,United States,1995,"Rate per 1,000",7.6
Nation,United States,1995,Number,29583
Nation,United States,1996,Number,28487
Nation,United States,1996,"Rate per 1,000",7.3
Nation,United States,1997,"Rate per 1,000",7.2
Nation,United States,1997,Number,28045
Nation,United States,1998,Number,28371
Nation,United States,1998,"Rate per 1,000",7.2
Nation,United States,1999,"Rate per 1,000",7.1
Nation,United States,1999,Number,27937
Nation,United States,2000,Number,28035
Nation,United States,2000,"Rate per 1,000",6.9
Nation,United States,2001,"Rate per 1,000",6.8
Nation,United States,2001,Number,27568
Nation,United States,2002,Number,28034
Nation,United States,2002,"Rate per 1,000",7
Nation,United States,2003,"Rate per 1,000",6.9
Nation,United States,2003,Number,28025
Nation,United States,2004,Number,27936
Nation,United States,2004,"Rate per 1,000",6.8
Nation,United States,2005,"Rate per 1,000",6.9
Nation,United States,2005,Number,28440
Nation,United States,2006,Number,28527
Nation,United States,2006,"Rate per 1,000",6.7
Nation,United States,2007,"Rate per 1,000",6.8
Nation,United States,2007,Number,29138
Nation,United States,2008,Number,28059
Nation,United States,2008,"Rate per 1,000",6.6
Nation,United States,2013,"Rate per 1,000",6
Nation,United States,2018,Number,21467
Nation,United States,2013,Number,23440
Nation,United States,2018,"Rate per 1,000",5.7
Nation,United States,2009,"Rate per 1,000",6.4
Nation,United States,2009,Number,26412
Nation,United States,2010,Number,24586
Nation,United States,2010,"Rate per 1,000",6.1
Nation,United States,2015,"Rate per 1,000",5.9
Nation,United States,2015,Number,23455
Nation,United States,2011,Number,23985
Nation,United States,2012,"Rate per 1,000",6
Nation,United States,2011,"Rate per 1,000",6.1
Nation,United States,2012,Number,23629
Nation,United States,2014,Number,23215
Nation,United States,2014,"Rate per 1,000",5.8
Nation,United States,2016,"Rate per 1,000",5.9
Nation,United States,2017,Number,22335
Nation,United States,2016,Number,23161
Nation,United States,2017,"Rate per 1,000",5.8
State,Alabama,2017,"Rate per 1,000",7.4
State,Alabama,2016,Number,537
State,Alabama,2017,Number,434
State,Alabama,2016,"Rate per 1,000",9.1
State,Alabama,2014,"Rate per 1,000",8.7
State,Alabama,2014,Number,516
State,Alabama,2012,Number,523
State,Alabama,2011,"Rate per 1,000",8.2
State,Alabama,2012,"Rate per 1,000",8.9
State,Alabama,2011,Number,487
State,Alabama,2015,Number,495
State,Alabama,2010,"Rate per 1,000",8.7
State,Alabama,2015,"Rate per 1,000",8.3
State,Alabama,2010,Number,523
State,Alabama,2009,Number,517
State,Alabama,2009,"Rate per 1,000",8.3
State,Alabama,2018,"Rate per 1,000",7
State,Alabama,2013,Number,501
State,Alabama,2018,Number,405
State,Alabama,2013,"Rate per 1,000",8.6
State,Alabama,2008,"Rate per 1,000",9.5
State,Alabama,2007,Number,641
State,Alabama,2008,Number,612
State,Alabama,2007,"Rate per 1,000",9.9
State,Alabama,2006,"Rate per 1,000",9
State,Alabama,2006,Number,571
State,Alabama,2004,"Rate per 1,000",8.7
State,Alabama,2005,Number,568
State,Alabama,2005,"Rate per 1,000",9.4
State,Alabama,2004,Number,516
State,Alabama,2003,Number,519
State,Alabama,2003,"Rate per 1,000",8.7
State,Alabama,2002,"Rate per 1,000",9.1
State,Alabama,2001,Number,567
State,Alabama,2002,Number,539
State,Alabama,2001,"Rate per 1,000",9.4
State,Alabama,2000,"Rate per 1,000",9.4
State,Alabama,2000,Number,596
State,Alabama,1999,Number,606
State,Alabama,1998,"Rate per 1,000",10.2
State,Alabama,1999,"Rate per 1,000",9.8
State,Alabama,1998,Number,633
State,Alabama,1997,Number,581
State,Alabama,1997,"Rate per 1,000",9.5
State,Alabama,1996,"Rate per 1,000",10.5
State,Alabama,1995,Number,592
State,Alabama,1996,Number,635
State,Alabama,1994,"Rate per 1,000",10.1
State,Alabama,1995,"Rate per 1,000",9.8
State,Alabama,1994,Number,618
State,Alabama,1993,Number,638
State,Alabama,1992,"Rate per 1,000",10.5
State,Alabama,1993,"Rate per 1,000",10.3
State,Alabama,1991,Number,705
State,Alabama,1992,Number,655
State,Alabama,1991,"Rate per 1,000",11.2
State,Alabama,1990,"Rate per 1,000",10.8
State,Alabama,1990,Number,688
State,Alaska,1990,Number,125
State,Alaska,1990,"Rate per 1,000",10.5
State,Alaska,1991,"Rate per 1,000",8.9
State,Alaska,1992,Number,101
State,Alaska,1991,Number,104
State,Alaska,1993,"Rate per 1,000",8.2
State,Alaska,1992,"Rate per 1,000",8.6
State,Alaska,1993,Number,91
State,Alaska,1994,Number,81
State,Alaska,1995,"Rate per 1,000",7.7
State,Alaska,1994,"Rate per 1,000",7.6
State,Alaska,1996,Number,72
State,Alaska,1995,Number,79
State,Alaska,1996,"Rate per 1,000",7.2
State,Alaska,1997,"Rate per 1,000",7.5
State,Alaska,1997,Number,75
State,Alaska,1998,Number,59
State,Alaska,1999,"Rate per 1,000",5.7
State,Alaska,1998,"Rate per 1,000",5.9
State,Alaska,1999,Number,57
State,Alaska,2000,Number,68
State,Alaska,2000,"Rate per 1,000",6.8
State,Alaska,2001,"Rate per 1,000",8.1
State,Alaska,2002,Number,55
State,Alaska,2001,Number,81
State,Alaska,2002,"Rate per 1,000",5.5
State,Alaska,2003,"Rate per 1,000",7
State,Alaska,2003,Number,71
State,Alaska,2004,Number,69
State,Alaska,2005,"Rate per 1,000",5.9
State,Alaska,2005,Number,62
State,Alaska,2004,"Rate per 1,000",6.7
State,Alaska,2006,Number,76
State,Alaska,2006,"Rate per 1,000",6.9
State,Alaska,2007,"Rate per 1,000",6.5
State,Alaska,2008,Number,67
State,Alaska,2007,Number,72
State,Alaska,2008,"Rate per 1,000",5.9
State,Alaska,2013,"Rate per 1,000",5.6
State,Alaska,2018,Number,60
State,Alaska,2013,Number,64
State,Alaska,2018,"Rate per 1,000",5.9
State,Alaska,2009,"Rate per 1,000",6.8
State,Alaska,2009,Number,77
State,Alaska,2010,Number,43
State,Alaska,2010,"Rate per 1,000",3.7
State,Alaska,2015,"Rate per 1,000",6.9
State,Alaska,2015,Number,78
State,Alaska,2011,Number,43
State,Alaska,2012,"Rate per 1,000",5.2
